KZMJ00001196
KSK024_119	KZT	4 429,7	0,3	5 (0)
KZKA00000579
MUJ132_0003	KZT	10 000,0	0,0	14 (0)
KZW100014148
NTK029_2848	KZT	505 228,1	11,8	17 (0)
KZMJ00001246
ZKK024_124	KZT	4 364,8	0,3	20 (0)
KZAJ00000093
ALK024_009	KZT	4 725,9	0,3	20 (0)
KZMJ00001238
AKK024_123	KZT	2 138,0	0,3	20 (0)
KZKD00000105
MUM180_0001	KZT	313 383,7	13,3	35 (0)
KZMJ00001287
PVK024_128	KZT	3 533,6	0,3	45 (0)
KZMJ00001303
ARK024_130	KZT	2 882,0	0,3	45 (0)
KZKD00000139
MUM180_0002	KZT	302 087,0	12,6	69 (0)
KZMJ00001345
VKK024_134	KZT	6 000,0	0,3	88 (0)
KZMJ00001352
VKK024_135	KZT	1 290,8	0,3	104 (0)
KZKD00000782
MUM120_0014	KZT	139 272,4	12,1	111 (0)
KZKA00000348
MUJ168_0003	KZT	15 000,0	–	132 (0)
KZMJ00001378
KOK024_137	KZT	2 334,1	0,3	150 (0)
KZKD00000451
MUM156_0004	KZT	44 903,8	14,2	156 (0)
KZMJ00001410
DZK024_141	KZT	5 906,4	0,3	169 (0)
KZKA00000553
MUJ144_0003	KZT	60 000,0	0,0	177 (0)
KZK100000324
MKM009_0019	KZT	400 500,0	11,8	196 (1)
KZMJ00001436
ABK024_143	KZT	2 276,0	0,3	205 (1)
KZMJ00001444
SKK024_144	KZT	2 127,9	0,3	219 (1)
KZMJ00001469
SKK024_146	KZT	2 000,0	0,3	226 (1)
KZK100000316
MKM012_0156	KZT	160 698,3	11,5	266 (1)
KZK200000745
MOM024_0087	KZT	228 589,8	13,0	268 (1)
KZKA00000652
MUJ132_0005	KZT	14 000,0	0,1	285 (1)
KZK200000695
MOM036_0091	KZT	337 742,2	12,8	296 (1)
KZKA00000173
MUJ192_0001	KZT	15 000,0	7,5	345 (1)
KZMJ00001477
ZKK024_147	KZT	5 500,0	0,3	370 (1)
KZKA00000504
MUJ156_0003	KZT	20 000,0	0,0	372 (1)
KZK200000752
MOM024_0088	KZT	76 305,1	12,4	373 (1)
KZMJ00001493
AKK024_149	KZT	2 008,3	0,3	392 (1)
KZMJ00001501
ATK024_150	KZT	5 500,0	0,3	398 (1)
KZKD00000865
MUM120_0016	KZT	484 106,4	12,7	402 (1)
KZKA00000587
MUJ144_0004	KZT	10 000,0	0,0	405 (1)
KZMJ00001535
VKK024_153	KZT	5 500,0	0,3	427 (1)
KZK200000703
MOM036_0092	KZT	103 478,1	14,0	429 (1)
KZMJ00001568
PVK024_156	KZT	4 515,4	0,3	434 (1)
KZMJ00001543
KGK024_154	KZT	4 729,4	0,3	434 (1)
KZMJ00001576
KOK024_157	KZT	5 351,5	0,3	446 (1)
KZZJ00000110
ASK024_011	KZT	5 000,0	0,3	446 (1)
KZKD00000873
MUM132_0006	KZT	23 500,0	12,8	451 (1)
KZSJ00000135
SHK024_013	KZT	5 500,0	0,3	454 (1)
KZMJ00001584
ABK024_158	KZT	5 500,0	0,3	463 (1)
KZMJ00001600
KSK024_160	KZT	2 900,0	0,3	468 (1)
KZKT00000016
MTM036_0001	KZT	216 901,8	17,9	470 (1)
KZKD00000709
MUM144_0006	KZT	11 500,0	6,4	480 (1)
KZKD00000469
MUM168_0001	KZT	14 666,7	14,1	528 (1)
KZMJ00001659
SKK024_165	KZT	1 400,0	0,3	542 (2)
KZMJ00001642
UTK024_164	KZT	4 814,2	0,3	548 (2)
KZMJ00001675
AIK024_167	KZT	3 500,0	0,3	551 (2)
KZMJ00001667
JTK024_166	KZT	2 796,4	0,3	552 (2)
KZKA00000363
MUJ180_0007	KZT	15 000,0	0,0	553 (2)
KZKA00000249
MUJ192_0002	KZT	17 000,0	–	554 (2)
KZKD00000485
MUM168_0002	KZT	17 000,0	13,4	571 (2)
KZMJ00001683
DZK024_168	KZT	5 500,0	0,3	576 (2)
KZMJ00001691
TKK024_169	KZT	4 913,1	0,3	577 (2)
KZMJ00001592
KSK024_159	KZT	930,6	0,3	577 (2)
KZKD00000337
MUM180_0003	KZT	20 050,0	15,8	579 (2)
KZKA00000637
MUJ144_0005	KZT	14 300,0	0,0	582 (2)
KZMJ00001766
ZKK024_176	KZT	2 258,0	0,3	584 (2)
KZMJ00001782
SKK024_178	KZT	1 910,5	0,3	584 (2)
KZMJ00001758
PVK024_175	KZT	300,0	0,3	584 (2)
KZMJ00001725
KOK024_172	KZT	3 000,0	0,3	584 (2)
KZMJ00001709
DZK024_170	KZT	2 000,0	0,3	584 (2)
KZMJ00001774
AKK024_177	KZT	3 914,9	0,3	584 (2)
KZK200000687
MOM048_0052	KZT	382 910,4	12,4	636 (2)
KZSE00000023
SHK060_002	KZT	14 000,0	10,8	694 (2)
KZKA00000496
MUJ168_0004	KZT	15 000,0	0,0	704 (2)
KZKA00000199
MUJ204_0001	KZT	12 000,0	0,0	763 (2)
KZKA00000314
MUJ192_0003	KZT	9 000,0	0,0	763 (2)
KZK200000711
MOM048_0053	KZT	148 751,9	11,8	789 (2)
KZKD00000915
MUM108_0012	KZT	369 290,2	11,4	798 (2)
KZKA00000215
MUJ204_0002	KZT	15 000,0	0,0	825 (2)
KZK200000679
MOM060_0052	KZT	310 584,2	11,9	829 (2)
KZKD00000444
MUM180_0004	KZT	67 000,0	11,5	843 (2)
KZKA00000538
MUJ168_0005	KZT	30 000,0	0,0	853 (2)
KZKT00000024
MTM048_0001	KZT	257 600,0	16,3	864 (2)
KZK200000729
MOM048_0054	KZT	360 891,9	11,8	871 (2)
KZKA00000611
MUJ156_0004	KZT	80 000,0	0,0	885 (2)
KZKD00000493
MUM180_0005	KZT	59 787,1	11,5	938 (3)
KZKD00000899
MUM120_0017	KZT	418 224,1	11,1	1041 (3)
KZKD00000535
MUM180_0006	KZT	387 532,2	11,2	1062 (3)
KZKA00000306
MUJ204_0003	KZT	14 000,0	–	1094 (3)
KZKD00001145
MUM072_0013	KZT	439 908,9	13,4	1114 (3)
KZKD00000758
MUM156_0005	KZT	373 301,5	11,7	1145 (3)
KZKA00000207
MUJ216_0001	KZT	12 000,0	0,0	1154 (3)
KZKD00000907
MUM120_0018	KZT	405 956,8	11,9	1158 (3)
KZKA00000330
MUJ204_0004	KZT	36 000,0	0,0	1184 (3)
KZKD00000618
MUM180_0007	KZT	5 100,0	15,8	1233 (3)
KZKT00000032
MTM060_0001	KZT	240 000,0	16,2	1259 (3)
KZKD00000477
MUM192_0001	KZT	15 333,3	5,1	1264 (4)
KZKD00000659
MUM180_0008	KZT	35 420,0	13,3	1269 (4)
KZK200000737
MOM060_0054	KZT	225 407,1	12,5	1293 (4)
KZKA00000256
MUJ216_0002	KZT	12 000,0	0,0	1301 (4)
KZKA00000280
MUJ216_0003	KZT	18 000,0	7,7	1390 (4)
KZKD00001137
MUM084_0018	KZT	520 040,3	11,7	1437 (4)
KZKD00000543
MUM192_0002	KZT	78 048,0	9,9	1443 (4)
KZKA00000223
MUJ228_0001	KZT	19 000,0	0,0	1572 (4)
KZKD00000626
MUM192_0003	KZT	184 373,1	11,9	1595 (4)
KZKD00001095
MUM096_0011	KZT	171 071,0	11,9	1632 (5)
KZKT00000040
MTM072_0001	KZT	116 965,1	18,4	1653 (5)
KZKD00000717
MUM180_0009	KZT	14 610,0	10,5	1675 (5)
KZKA00000645
MUJ180_0008	KZT	30 000,0	0,1	1678 (5)
KZKA00000264
MUJ228_0002	KZT	18 100,0	0,0	1695 (5)
KZKA00000488
MUJ204_0005	KZT	20 000,0	0,0	1753 (5)
KZKD00001210
MUM072_0014	KZT	439 592,1	11,5	1758 (5)
KZKD00001087
MUM108_0013	KZT	312 740,3	11,5	1786 (5)
KZKA00000520
MUJ204_0006	KZT	10 000,0	0,0	1873 (5)
KZKA00000322
MUJ228_0003	KZT	38 000,0	0,0	1874 (5)
KZKD00001160
MUM096_0012	KZT	288 420,7	11,8	1903 (5)
KZKD00000790
MUM180_0011	KZT	288 317,4	11,8	1918 (5)
KZKA00000447
MUJ216_0004	KZT	12 000,0	0,0	1932 (5)
KZKA00000371
MUJ228_0004	KZT	10 000,0	0,0	2083 (6)
KZKD00000840
MUM180_0012	KZT	640 286,9	11,8	2089 (6)
KZKD00001202
MUM096_0013	KZT	392 796,6	11,0	2089 (6)
KZKA00000660
MUJ192_0004	KZT	21 000,0	0,1	2109 (6)
KZKT00000073
MTM084_0001	KZT	30 917,3	17,3	2118 (6)
KZKD00001251
MUM072_0015	KZT	92 833,5	12,0	2122 (6)
KZMF00000119
ZKK119_011	KZT	5 919,9	0,0	2200 (6)
KZMF00000101
VKK119_010	KZT	24 561,9	0,0	2200 (6)
KZMF00000184
TKK119_018	KZT	29 228,2	0,0	2200 (6)
KZMF00000150
SKK119_015	KZT	6 563,8	0,0	2200 (6)
KZSF00000014
SHK119_001	KZT	12 270,3	0,0	2200 (6)
KZMF00000192
PVK119_019	KZT	7 644,9	0,0	2200 (6)
KZMF00000093
MGK119_009	KZT	6 296,2	0,0	2200 (6)
KZMF00000036
KSK119_003	KZT	14 196,3	0,0	2200 (6)
KZMF00000176
KOK119_017	KZT	8 126,2	0,0	2200 (6)
KZMF00000044
KGK119_004	KZT	14 477,5	0,0	2200 (6)
KZMF00000168
DZK119_016	KZT	9 459,9	0,0	2200 (6)
